LOCATION,TIME,Value,GDP_PER_CAP
KOR,1994,27.565442028957566,15278.768540000001
KOR,1995,29.61449724989626,16573.602619999998
KOR,1996,31.356627084458463,17663.07061
KOR,1997,31.38680779613318,18534.45296
KOR,1998,29.35305425764706,17394.34641
KOR,1999,34.55628142333822,19224.348530000003
KOR,2000,34.191505190907215,20765.83787
KOR,2001,34.540466625685525,21539.68259
KOR,2002,36.36510157455212,23007.04099
KOR,2003,38.61877292385491,23559.749780000002
KOR,2004,34.345613909720704,24615.96801
KOR,2005,35.84197373538315,25527.666530000002
KOR,2006,41.133888353077005,26708.780769999998
KOR,2007,42.607884947699496,28025.65465
KOR,2008,42.897310344145524,28600.609910000003
KOR,2009,43.132320006915634,28655.173689999996
KOR,2010,45.73318657691233,30365.34699
KOR,2011,46.640312695617254,31241.838139999996
KOR,2012,47.65440056610051,31790.595869999997
KOR,2013,49.40606765503546,32562.77335
KOR,2014,52.101090848045644,33439.97244
KOR,2015,55.451265021754075,34192.45287
KOR,2016,57.08756652534732,35035.41089
KOR,2017,57.6972303717957,35968.090169999996
KOR,2018,59.25720395690786,36778.42035
MEX,1990,23.24263815432122,12160.048209999999
MEX,1991,26.63603164819432,12449.551309999999
MEX,1992,27.21924830442633,12686.31235
MEX,1993,27.534907634160174,12926.63542
MEX,1994,30.316365389457644,13353.39002
MEX,1995,29.653368151838723,12323.26059
MEX,1996,30.45306824704867,12967.5981
MEX,1997,32.74632662063919,13666.17905
MEX,1998,35.44348320277782,14185.10024
MEX,1999,36.53121885273268,14397.200669999998
MEX,2000,37.91626190199438,14930.57787
MEX,2001,39.36118096515857,14691.67964
MEX,2002,41.79320702238278,14501.787919999999
MEX,2003,43.042545340431936,14528.62842
MEX,2004,42.8338090967737,14922.67561
MEX,2005,44.236038063832424,15117.530569999999
MEX,2006,43.783341539420675,15615.238080000001
MEX,2007,44.555545253822935,15774.57003
MEX,2008,45.66487962977278,15739.99251
MEX,2009,45.872413243973064,14701.725519999998
MEX,2010,45.45300770509368,15257.67358
MEX,2011,44.475862027592434,15625.413419999999
MEX,2012,45.985724886795886,16004.172230000002
MEX,2013,47.25094508303741,16036.48818
MEX,2014,47.29317120633863,16304.037069999998
MEX,2015,48.40958279240837,16659.51245
MEX,2016,49.551299292805254,16967.78036
MEX,2017,50.782131754725704,17143.899830000002
MEX,2018,51.5794510815214,17314.83165
NOR,1990,37.02000524151127,39807.26437
NOR,1991,38.00813250407705,40832.99758
NOR,1992,39.05397087164717,42055.7112
NOR,1993,39.96440479617225,42991.52957
NOR,1994,42.41256897086028,44904.59965
NOR,1995,43.618019403711344,46533.86543
NOR,1996,45.49395620697314,48628.15832
NOR,1997,43.885744355099746,50919.02751
NOR,1998,44.2692759127271,51948.75507
NOR,1999,43.23924390676499,52626.45995
NOR,2000,45.640094620704396,53962.56762
NOR,2001,46.07549656405513,54807.177229999994
NOR,2002,45.92095523551137,55301.12027000001
NOR,2003,45.910109232034074,55479.712289999996
NOR,2004,48.85030940250065,57337.05135
NOR,2005,49.744105316164585,58447.41774
NOR,2006,49.572327569666555,59359.36705
NOR,2007,51.80095141370458,60508.1505
NOR,2008,54.70928572261452,60046.702979999995
NOR,2009,54.12435099595953,58285.63061
NOR,2010,54.80374488722101,57968.51587
NOR,2011,55.11632781685382,57775.613970000006
NOR,2012,55.1151294465497,58567.62194
NOR,2013,56.752867070285276,58468.67825
NOR,2014,54.93789003028082,58961.922679999996
NOR,2015,55.0010697566539,59498.06182
NOR,2016,56.01218646289728,59687.096410000006
NOR,2017,55.52694136876924,60396.23521
NOR,2018,55.54324954293993,60842.97851
NZL,1990,79.44860492542269,22725.17145
NZL,1991,79.2417311888441,21507.94903
NZL,1992,80.98529939824039,21558.283
NZL,1993,74.031908418683,22690.90859
NZL,1994,90.94276423167179,23558.797440000002
NZL,1995,92.93844559470921,24257.348009999998
NZL,1996,78.3123933871334,24698.0004
NZL,1997,84.1757854129514,25135.85127
NZL,1998,83.4642898691256,25205.56219
NZL,1999,82.4569545876049,26370.32342
NZL,2000,86.6873923581125,26818.43402
NZL,2001,87.7309506766158,27588.88054
NZL,2002,79.2203131721897,28474.845189999996
NZL,2003,92.3471421722713,29217.240960000003
NZL,2004,87.77279893444191,29759.55438
NZL,2005,84.80479638953261,30398.43247
NZL,2006,84.38326646162591,30821.71747
NZL,2007,83.96107542372451,31693.043660000003
NZL,2008,79.99325249123581,30937.47485
NZL,2009,68.3738324936725,31188.20588
NZL,2010,66.66267066900127,31164.945239999997
NZL,2011,67.57182336521402,31785.38213
NZL,2012,69.96551445633398,32396.406469999998
NZL,2013,70.12035755912052,32738.28753
NZL,2014,71.37834556830772,33328.90079
NZL,2015,71.1178457753488,33980.81251
NZL,2016,72.70869104422243,34498.02317
NZL,2017,74.3411093535338,34675.42238
NZL,2018,74.88571428513362,34980.80299
OECD,1994,34.36222666904803,27566.28466
OECD,1995,34.54769463450466,27925.438039999997
OECD,1996,34.565006828406126,28623.21038
OECD,1997,34.757665063435134,29470.1095
OECD,1998,35.6342626233136,30137.68801
OECD,1999,37.0211380297157,30928.65453
OECD,2000,63.37076492755713,31971.86983
OECD,2001,64.1911010500745,32198.159839999997
OECD,2002,65.93992900349923,32501.825689999998
OECD,2003,65.5833438839069,32956.23231
OECD,2004,65.92322048430383,33824.00757
OECD,2005,66.12545526702118,34569.66367
OECD,2006,66.20376872983955,35435.15343
OECD,2007,67.25864816936813,36110.51516
OECD,2008,66.20982095997003,35951.824960000005
OECD,2009,65.25504066335213,34477.09612
OECD,2010,65.61468030056807,35283.00271
OECD,2011,65.27247230969806,35785.279539999996
OECD,2012,64.87224570504009,36053.389760000005
OECD,2013,64.77873589722005,36412.441269999996
OECD,2014,65.42197930946993,36980.10804
OECD,2015,67.7094626952035,37705.8739
OECD,2016,68.76281174612377,38154.92233
OECD,2017,69.2343264069071,38907.49298
OECD,2018,70.17744174173208,39581.417519999995
RUS,1995,39.806167723281824,12247.63665
RUS,1996,36.69554005200027,11822.95486
RUS,1997,38.93230123317053,12006.08105
RUS,1998,36.00614077357523,11383.19531
RUS,1999,29.46437822640578,12143.65249
RUS,2000,29.41738407720619,13419.889959999999
RUS,2001,35.26140906197677,14163.05073
RUS,2002,39.352545432023,14903.315990000001
RUS,2003,38.53863976149783,16063.36655
RUS,2004,38.87842498535524,17285.531030000002
RUS,2005,43.09542589025195,18457.96414
RUS,2006,44.55227974604733,20028.39546
RUS,2007,49.35956855439235,21775.0575
RUS,2008,60.67740302667431,22927.87556
RUS,2009,53.31134314612719,21128.351000000002
RUS,2010,53.916566148192594,22070.003080000002
RUS,2011,55.74150008563161,22993.16948
RUS,2012,58.950235548503805,23793.69798
RUS,2013,59.34907526727097,24166.980209999998
RUS,2014,59.36236374141844,23914.92787
RUS,2015,60.03611262767799,23188.495759999998
RUS,2016,61.63272768830177,23093.98295
RUS,2017,63.183849964376776,23443.627969999998
TUR,1990,17.64928430534072,10781.59324
TUR,1991,17.24742269686983,10699.98275
TUR,1992,16.88238655750483,11155.029559999999
TUR,1993,16.845670154547662,11859.203809999999
TUR,1994,16.04549151061631,11036.12462
TUR,1995,17.396489102273893,11647.82417
TUR,1996,15.536466015985138,12275.82078
TUR,1997,16.88104319841284,13004.77091
TUR,1998,16.6272359692585,13217.553999999998
